ID,TITLE,TYPE,IMDB_SCORE,RELEASE_YEAR,ENGAGEMENT_SCORE,DESCRIPTION_SENTIMENT,SENTIMENT_BUCKET
ts21930,Lupin the Third,SHOW,7.9,1971,6.56,0.45494354,Positive
ts25177,Mobile Suit Gundam,SHOW,7.9,1979,6.6,0.25112313,Neutral
ts35087,Galaxy Express 999,SHOW,7.8,1978,6.41,0.15549468,Neutral
ts82387,Lupin the 3rd,SHOW,8,1977,4.17,0.33980107,Positive
ts2846,Chōdenji Machine Voltes V,SHOW,8.1,1977,6.13,0.27770454,Neutral
ts32935,Space Pirate Captain Harlock,SHOW,7.8,1978,6.05,0.17923713,Neutral
ts32687,The Wonderful Adventures of Nils,SHOW,7.5,1980,6.37,-0.0040225806,Neutral
ts53300,Princess Knight,SHOW,7.3,1967,6.6,0.30707428,Positive
ts4889,The Adventures of the Little Prince,SHOW,7.1,1978,5.86,0.2075188,Neutral
ts18639,Space Warrior Baldios,SHOW,7.8,1980,5.8,0.042812273,Neutral
ts12564,Chargeman Ken!,SHOW,5.6,1974,3.96,0.026789393,Neutral
ts20740,Dragon Ball Z,SHOW,8.8,1989,7.51,0.2992472,Neutral
ts21560,Dragon Ball,SHOW,8.6,1986,7.32,0.45903322,Positive
ts14127,Fist of the North Star,SHOW,8.3,1984,6.91,0.048006456,Neutral
ts29377,Megabeast Investigator Juspion,SHOW,8.5,1985,6.51,0.21165492,Neutral
ts42463,Samurai Pizza Cats,SHOW,7,1990,5.71,0.34821615,Positive
ts46776,Gunbuster,SHOW,7.7,1988,6.36,0.12882715,Neutral
ts29400,Kimagure Orange Road,SHOW,7.7,1987,6,0.57327753,Positive
ts12311,Cat's Eye,SHOW,7.3,1983,6.03,0.12782277,Neutral
ts12843,Arcadia of My Youth: Endless Orbit SSX,SHOW,7.6,1982,5.63,-0.055601627,Neutral
ts66982,GoShogun,SHOW,6.6,1981,5.1,0.09407733,Neutral
ts68963,Miss Machiko,SHOW,7.9,1981,5.98,0.27223048,Neutral
ts37484,Osomatsu-kun,SHOW,7.5,1988,3.42,0.17690459,Neutral
ts40897,Psycho Armor Govarian,SHOW,7.9,1983,6.17,0.0905912,Neutral
ts18589,Dancougar – Super Beast Machine God,SHOW,7.1,1985,5.15,-0.17269196,Neutral
ts22544,Six God Combination Godmars,SHOW,6.3,1981,4.79,0.16293065,Neutral
ts20339,One Piece,SHOW,8.8,1999,7.68,0.52629024,Positive
ts34435,Cowboy Bebop,SHOW,8.9,1998,7.63,0.012422452,Neutral
